lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.01,1899,,,,,,,,,,,,,,
,1899,0.1497587412595749,0.0005138671258464456,0.1497587412595749,1899.0,5,,,,,,,,,
0.01,1949,,,,,,,,,,,,,,
,1949,0.0341142937541008,0.00012591347331181169,0.0341142937541008,1949.0,5,,,,,,,,,
0.01,1999,,,,,,,,,,,,,,
,1999,0.07427246123552322,0.0002532362996134907,0.07427246123552322,1999.0,5,,,,,,,,,
0.01,2049,,,,,,,,,,,,,,
,2049,0.07838582247495651,0.00026112818159163,0.07838582247495651,2049.0,5,,,,,,,,,
0.01,2099,,,,,,,,,,,,,,
,2099,0.20101460814476013,0.0010200238320976496,0.20101460814476013,2099.0,5,,,,,,,,,
,2099,,,,,5,0.22564908862113953,0.001338423928245902,0.22564908862113953,0.1641949713230133,0.0011977477697655559,0.1641949713230133,,,
,2099,,,,,5,,,,,,,0.17049188911914825,0.0040470571257174015,0.17049188911914825
0.01,2149,,,,,,,,,,,,,,
,2149,0.07024722546339035,0.00023443438112735748,0.07024722546339035,2149.0,6,,,,,,,,,
0.01,2199,,,,,,,,,,,,,,
,2199,0.2650884985923767,0.0012753597693517804,0.2650884985923767,2199.0,6,,,,,,,,,
0.01,2249,,,,,,,,,,,,,,
,2249,0.17503930628299713,0.0007567493012174964,0.17503930628299713,2249.0,6,,,,,,,,,
0.01,2299,,,,,,,,,,,,,,
,2299,0.27999162673950195,0.00271970615722239,0.27999162673950195,2299.0,6,,,,,,,,,
0.01,2349,,,,,,,,,,,,,,
,2349,0.4668715000152588,0.008315657265484333,0.4668715000152588,2349.0,6,,,,,,,,,
0.01,2399,,,,,,,,,,,,,,
,2399,0.0732409656047821,0.00025194097543135285,0.0732409656047821,2399.0,6,,,,,,,,,
0.01,2449,,,,,,,,,,,,,,
,2449,0.2650454044342041,0.0009788924362510443,0.2650454044342041,2449.0,6,,,,,,,,,
,2449,,,,,6,0.11783792823553085,0.0005752824363298714,0.11783792823553085,0.10788160562515259,0.0004339501610957086,0.10788160562515259,,,
,2449,,,,,6,,,,,,,0.16075067222118378,0.003295325441285968,0.16075067222118378
0.01,2499,,,,,,,,,,,,,,
,2499,0.22603371739387512,0.0009170399862341583,0.22603371739387512,2499.0,7,,,,,,,,,
0.01,2549,,,,,,,,,,,,,,
,2549,0.11988881230354309,0.0003947723307646811,0.11988881230354309,2549.0,7,,,,,,,,,
0.01,2599,,,,,,,,,,,,,,
,2599,0.3405270278453827,0.002056724391877651,0.3405270278453827,2599.0,7,,,,,,,,,
0.01,2649,,,,,,,,,,,,,,
,2649,0.13218359649181366,0.0004885414964519441,0.13218359649181366,2649.0,7,,,,,,,,,
0.01,2699,,,,,,,,,,,,,,
,2699,0.010726062580943108,4.797425208380446e-05,0.010726062580943108,2699.0,7,,,,,,,,,
0.01,2749,,,,,,,,,,,,,,
,2749,0.19309544563293457,0.0007481242064386606,0.19309544563293457,2749.0,7,,,,,,,,,
0.01,2799,,,,,,,,,,,,,,
,2799,0.0799369215965271,0.00027075092657469213,0.0799369215965271,2799.0,7,,,,,,,,,
,2799,,,,,7,0.14793922007083893,0.0005012921174056828,0.14793922007083893,0.16589012742042542,0.0008474616333842278,0.16589012742042542,,,
,2799,,,,,7,,,,,,,0.1661204695701599,0.003560669021680951,0.1661204695701599
0.01,2849,,,,,,,,,,,,,,
,2849,0.10905186086893082,0.0003792439529206604,0.10905186086893082,2849.0,8,,,,,,,,,
0.01,2899,,,,,,,,,,,,,,
,2899,0.6537234783172607,0.24190272390842438,0.6537234783172607,2899.0,8,,,,,,,,,
0.01,2949,,,,,,,,,,,,,,
,2949,0.15121835470199585,0.0005197275895625353,0.15121835470199585,2949.0,8,,,,,,,,,
0.01,2999,,,,,,,,,,,,,,
,2999,0.08700021356344223,0.00029311992693692446,0.08700021356344223,2999.0,8,,,,,,,,,
0.01,3049,,,,,,,,,,,,,,
,3049,0.06439640372991562,0.0002214648702647537,0.06439640372991562,3049.0,8,,,,,,,,,
0.01,3099,,,,,,,,,,,,,,
,3099,0.3417060375213623,0.0017291209660470486,0.3417060375213623,3099.0,8,,,,,,,,,
