lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
,2049,0.028529245406389236,0.00011429293954279274,0.028529245406389236,2049.0,3,,,,,,,,,
0.01,2099,,,,,,,,,,,,,,
,2099,0.058796875178813934,0.0002077000681310892,0.058796875178813934,2099.0,3,,,,,,,,,
0.01,2149,,,,,,,,,,,,,,
,2149,0.0645933449268341,0.00022257535601966083,0.0645933449268341,2149.0,3,,,,,,,,,
0.01,2199,,,,,,,,,,,,,,
,2199,0.08001914620399475,0.00028993349405936897,0.08001914620399475,2199.0,3,,,,,,,,,
0.01,2249,,,,,,,,,,,,,,
,2249,0.06582494080066681,0.00023687040084041655,0.06582494080066681,2249.0,3,,,,,,,,,
0.01,2299,,,,,,,,,,,,,,
,2299,0.12533365190029144,0.00044450207496993244,0.12533365190029144,2299.0,3,,,,,,,,,
0.01,2349,,,,,,,,,,,,,,
,2349,0.011711504310369492,5.505618901224807e-05,0.011711504310369492,2349.0,3,,,,,,,,,
0.01,2399,,,,,,,,,,,,,,
,2399,0.11547470837831497,0.0004077247285749763,0.11547470837831497,2399.0,3,,,,,,,,,
,2399,,,,,3,0.127041757106781,0.0035679778084158897,0.127041757106781,0.07098143547773361,0.0003671173471957445,0.07098143547773361,,,
,2399,,,,,3,,,,,,,0.12030243873596191,0.0028603191021829844,0.12030243873596191
0.01,2449,,,,,,,,,,,,,,
,2449,0.18240492045879364,0.0006722415564581752,0.18240492045879364,2449.0,4,,,,,,,,,
0.01,2499,,,,,,,,,,,,,,
,2499,0.018509434536099434,7.778598956065252e-05,0.018509434536099434,2499.0,4,,,,,,,,,
0.01,2549,,,,,,,,,,,,,,
,2549,0.1393047571182251,0.0005365394172258675,0.1393047571182251,2549.0,4,,,,,,,,,
0.01,2599,,,,,,,,,,,,,,
,2599,0.345583975315094,0.01055848691612482,0.345583975315094,2599.0,4,,,,,,,,,
0.01,2649,,,,,,,,,,,,,,
,2649,0.36356356739997864,0.0018645625095814466,0.36356356739997864,2649.0,4,,,,,,,,,
0.01,2699,,,,,,,,,,,,,,
,2699,0.07275847345590591,0.0002442286058794707,0.07275847345590591,2699.0,4,,,,,,,,,
0.01,2749,,,,,,,,,,,,,,
,2749,0.17774197459220886,0.0010547332931309938,0.17774197459220886,2749.0,4,,,,,,,,,
0.01,2799,,,,,,,,,,,,,,
,2799,0.07720542699098587,0.00026117757079191506,0.07720542699098587,2799.0,4,,,,,,,,,
0.01,2849,,,,,,,,,,,,,,
